Iteration	avg_lambda[1]	avg_lambda[2]	avg_lambda[3]	avg_lambda[4]	avg_lambda[5]	avg_lambda[6]	avg_lambda[7]	avg_lambda[8]	avg_lambda[9]	avg_lambda[10]	avg_lambda[11]	avg_lambda[12]	avg_lambda[13]	avg_lambda[14]	avg_lambda[15]	avg_lambda[16]	avg_lambda[17]	avg_lambda[18]	avg_lambda[19]	avg_lambda[20]	avg_lambda[21]	avg_lambda[22]	avg_lambda[23]	avg_lambda[24]	avg_lambda[25]	avg_lambda[26]	avg_lambda[27]	avg_lambda[28]	avg_lambda[29]	avg_lambda[30]	avg_lambda[31]	avg_lambda[32]	avg_lambda[33]	avg_lambda[34]	avg_lambda[35]	avg_lambda[36]	avg_lambda[37]	avg_lambda[38]	avg_lambda[39]	avg_lambda[40]	avg_lambda[41]	avg_lambda[42]	avg_lambda[43]	avg_lambda[44]	avg_lambda[45]	avg_lambda[46]	avg_lambda[47]	avg_lambda[48]	avg_lambda[49]	avg_lambda[50]	avg_lambda[51]	avg_lambda[52]	avg_lambda[53]	avg_lambda[54]	avg_lambda[55]	avg_lambda[56]	avg_lambda[57]	avg_lambda[58]	avg_lambda[59]	avg_lambda[60]	avg_lambda[61]	avg_lambda[62]	avg_lambda[63]	avg_lambda[64]	avg_lambda[65]	avg_lambda[66]	avg_lambda[67]	avg_lambda[68]	avg_lambda[69]	avg_lambda[70]	avg_lambda[71]	avg_lambda[72]	avg_mu[1]	avg_mu[2]	avg_mu[3]	avg_mu[4]	avg_mu[5]	avg_mu[6]	avg_mu[7]	avg_mu[8]	avg_mu[9]	avg_mu[10]	avg_mu[11]	avg_mu[12]	avg_mu[13]	avg_mu[14]	avg_mu[15]	avg_mu[16]	avg_mu[17]	avg_mu[18]	avg_mu[19]	avg_mu[20]	avg_mu[21]	avg_mu[22]	avg_mu[23]	avg_mu[24]	avg_mu[25]	avg_mu[26]	avg_mu[27]	avg_mu[28]	avg_mu[29]	avg_mu[30]	avg_mu[31]	avg_mu[32]	avg_mu[33]	avg_mu[34]	avg_mu[35]	avg_mu[36]	avg_mu[37]	avg_mu[38]	avg_mu[39]	avg_mu[40]	avg_mu[41]	avg_mu[42]	avg_mu[43]	avg_mu[44]	avg_mu[45]	avg_mu[46]	avg_mu[47]	avg_mu[48]	avg_mu[49]	avg_mu[50]	avg_mu[51]	avg_mu[52]	avg_mu[53]	avg_mu[54]	avg_mu[55]	avg_mu[56]	avg_mu[57]	avg_mu[58]	avg_mu[59]	avg_mu[60]	avg_mu[61]	avg_mu[62]	avg_mu[63]	avg_mu[64]	avg_mu[65]	avg_mu[66]	avg_mu[67]	avg_mu[68]	avg_mu[69]	avg_mu[70]	avg_mu[71]	avg_mu[72]	num_shifts[1]	num_shifts[2]	num_shifts[3]	num_shifts[4]	num_shifts[5]	num_shifts[6]	num_shifts[7]	num_shifts[8]	num_shifts[9]	num_shifts[10]	num_shifts[11]	num_shifts[12]	num_shifts[13]	num_shifts[14]	num_shifts[15]	num_shifts[16]	num_shifts[17]	num_shifts[18]	num_shifts[19]	num_shifts[20]	num_shifts[21]	num_shifts[22]	num_shifts[23]	num_shifts[24]	num_shifts[25]	num_shifts[26]	num_shifts[27]	num_shifts[28]	num_shifts[29]	num_shifts[30]	num_shifts[31]	num_shifts[32]	num_shifts[33]	num_shifts[34]	num_shifts[35]	num_shifts[36]	num_shifts[37]	num_shifts[38]	num_shifts[39]	num_shifts[40]	num_shifts[41]	num_shifts[42]	num_shifts[43]	num_shifts[44]	num_shifts[45]	num_shifts[46]	num_shifts[47]	num_shifts[48]	num_shifts[49]	num_shifts[50]	num_shifts[51]	num_shifts[52]	num_shifts[53]	num_shifts[54]	num_shifts[55]	num_shifts[56]	num_shifts[57]	num_shifts[58]	num_shifts[59]	num_shifts[60]	num_shifts[61]	num_shifts[62]	num_shifts[63]	num_shifts[64]	num_shifts[65]	num_shifts[66]	num_shifts[67]	num_shifts[68]	num_shifts[69]	num_shifts[70]	num_shifts[71]	num_shifts[72]
0	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	0.08719459	-nan	1.186628	1.186628	1.186628	1.186628	1.186628	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.2771843	0.3641689	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.2771843	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	0.5231211	1.186628	1.186628	1.186628	1.186628	0.9704686	0.4449785	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
1000	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	1.794621	-nan	0.1409299	0.1409299	0.1409299	0.1409299	0.1409299	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.2223449	0.388581	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.3596538	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.2223449	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.4841057	0.1409299	0.1409299	0.1409299	0.1409299	0.830662	0.3551599	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
2000	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	1.247751	-nan	0.3347146	0.3347146	0.3347146	0.3347146	0.3347146	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.2060925	0.1543496	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1029846	0.1382203	0.1029846	0.1029846	0.1029846	0.1029846	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.1167959	0.3347146	0.3347146	0.3347146	0.3347146	0.3996684	0.1046586	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
3000	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	1.407101	-nan	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.1197303	0.3841782	0.2653598	0.05445907	0.05445907	0.05445907	0.05445907	0.05445907	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2281835	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.2653598	0.05445907	0.05445907	0.05445907	0.2534061	0.2653598	0.2653598	0.2653598	1.266615	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.2385345	0.7575039	0.4990451	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
4000	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	1.443345	-nan	0.08692021	0.08692021	0.08692021	0.08692021	0.08692021	0.07883268	0.07883268	0.07883268	0.07883268	0.2179664	0.07883268	0.07883268	0.07883268	0.07883268	0.07883268	0.07883268	0.7529269	0.5517049	0.5485576	1.425842	1.425842	1.425842	1.425842	1.425842	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	1.252809	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	0.5485576	1.425842	1.425842	1.425842	0.644438	0.5485576	0.5485576	0.5485576	0.3078585	0.07883268	0.07883268	0.07883268	0.07883268	0.07883268	0.07883268	0.07883268	0.07883268	0.07883268	0.07883268	0.08692021	0.08692021	0.08692021	0.08692021	0.1656947	0.07883268	-nan	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
5000	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	1.744827	-nan	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	1.809176	1.472365	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	1.915792	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.163038	0.9036973	1.261661	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
6000	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	-nan	1.515596	1.515596	1.515596	1.515596	1.515596	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.02052443	1.676588	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.02052443	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	0.6048743	1.515596	1.515596	1.515596	1.515596	0.5999275	0.2297289	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
7000	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	1.644875	-nan	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	1.178271	1.7466	0.1174058	0.1254669	0.1254669	0.1254669	0.1254669	0.1254669	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1190161	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1153727	0.1228214	0.1254669	0.1254669	0.1254669	0.1254669	0.1254669	1.436009	2.022443	2.022443	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.1280938	0.3428783	0.1280938	0.1280938	0.1280938	0.1280938	0.6364649	2.022443	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
8000	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	1.455777	-nan	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.1210247	0.1274346	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.1210247	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.07819139	0.4067688	0.08383501	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
9000	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	1.924404	-nan	0.3128312	0.3128312	0.3128312	0.3128312	0.3128312	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	1.178086	1.782865	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	1.178086	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3811238	0.3128312	0.3128312	0.3128312	0.3128312	0.264168	1.072187	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
