Iteration	Posterior	Likelihood	Prior	birth	ef[1]	ef[2]	ef[3]	em[1]	em[2]	em[3]	extinction_eic	extinction_key	extinction_nig	extinction_per	extinction_rates[1]	extinction_rates[2]	extinction_rates[3]	extinction_rates[4]	extinction_rates[5]	extinction_rates[6]	extinction_rates[7]	extinction_rates[8]	extinction_rates[9]	female_relative[1]	female_relative[2]	female_relative[3]	global_female_extirp	global_male_extirp	is_extinction_eic_nig_different	is_extinction_key_per_different	male_relative[1]	male_relative[2]	male_relative[3]	root_state_freq[1]	root_state_freq[2]	root_state_freq[3]	root_state_freq[4]	root_state_freq[5]	root_state_freq[6]	root_state_freq[7]	root_state_freq[8]	root_state_freq[9]	sampling_fraction	stateBirths[1]	stateBirths[2]	stateBirths[3]	stateBirths[4]	stateBirths[5]	stateBirths[6]	stateBirths[7]	stateBirths[8]	stateBirths[9]
0	-218.9855	-227.1082	8.12272	0.7847513	0.0216816	0.00687342	0.0287931	0.00224664	0.00215593	0.00774788	0.2771843	0.5231211	0.2771843	1.186628	1.18663	0.256263	1.65711	0.474233	0.277184	0.277184	0.948418	1.39302	0.523121	0.37807	0.119854	0.502076	0.05734818	0.01215044	0	1	0.184902	0.177436	0.637662	0.0389978	0.354852	0.0387541	0.227605	0.171775	0.0071828	0.0392854	0.0206157	0.100933	0.6591288	0.0871946	0.0871946	0.0871946	0.0871946	0.0871946	0.0871946	0.0871946	0.0871946	0.0871946
1000	-132.2571	-121.8724	-10.38467	16.15159	0.0530541	0.0259532	0.117792	0.0690716	0.0679253	0.147959	0.2223449	0.4841057	0.2223449	0.1409299	0.14093	1.0749	1.76263	0.751665	0.222345	0.222345	0.291347	1.00603	0.484106	0.269585	0.131877	0.598539	0.1967994	0.284956	0	1	0.242394	0.238371	0.519235	0.100441	0.106198	0.0267862	0.115878	0.0791267	0.349951	0.0447033	0.0571555	0.11976	0.6234331	1.79462	1.79462	1.79462	1.79462	1.79462	1.79462	1.79462	1.79462	1.79462
2000	-133.412	-128.0722	-5.339748	11.22976	0.0708854	0.0268463	0.00844656	0.108415	0.00833207	0.140494	0.1029846	0.1167959	0.1029846	0.3347146	0.334715	2.82554	1.6645	0.281638	0.102985	0.102985	0.694429	0.773628	0.116796	0.667607	0.252842	0.0795507	0.1061783	0.2572412	0	1	0.421453	0.0323901	0.546157	0.138297	0.0338018	0.00281408	0.0523035	0.0698896	0.201574	0.195936	0.0823109	0.223073	0.5305699	1.24775	1.24775	1.24775	1.24775	1.24775	1.24775	1.24775	1.24775	1.24775
3000	-130.9967	-126.8972	-4.099496	12.66391	0.0548746	0.00152857	0.0486624	0.0533222	0.0151882	0.187423	0.05445907	0.2385345	0.2653598	0.2385345	0.238534	0.480009	1.79862	0.426378	0.0544591	0.26536	0.672487	0.208187	0.238534	0.522289	0.0145488	0.463163	0.1050656	0.2559339	1	0	0.208344	0.0593444	0.732312	0.213504	0.118878	0.115715	0.0793626	0.0937109	0.00389612	0.0475401	0.122685	0.204708	0.6110862	1.4071	1.4071	1.4071	1.4071	1.4071	1.4071	1.4071	1.4071	1.4071
4000	-133.5334	-128.1399	-5.393535	12.99011	0.0256912	0.00358998	0.0518569	0.111482	0.0634046	0.106316	1.425842	0.07883268	0.5485576	0.08692021	0.0869202	1.3741	0.24586	0.593654	1.42584	0.548558	0.379958	0.36474	0.0788327	0.316636	0.0442453	0.639119	0.08113813	0.2812022	1	1	0.396447	0.225477	0.378076	0.134227	0.168537	0.0622802	0.0530319	0.328108	0.109849	0.00700006	0.0698878	0.0670786	0.5971589	1.44335	1.44335	1.44335	1.44335	1.44335	1.44335	1.44335	1.44335	1.44335
5000	-134.2862	-125.1039	-9.182333	15.70345	0.005513	0.0104274	0.00613785	0.0518252	0.0327339	0.195129	1.915792	0.163038	0.4735383	0.163038	0.163038	0.0115818	0.859683	1.18171	1.91579	0.473538	1.08964	1.08468	0.163038	0.249703	0.472293	0.278005	0.02207824	0.2796877	1	0	0.185297	0.117037	0.697666	0.526685	0.0580306	0.0389311	0.0579706	0.0380885	0.204718	0.0395568	0.0157891	0.0202297	0.6432848	1.74483	1.74483	1.74483	1.74483	1.74483	1.74483	1.74483	1.74483	1.74483
6000	-137.7879	-128.4782	-9.309749	11.40552	0.0340901	0.0692112	0.0803079	0.00654984	0.0199107	0.254346	0.02052443	0.6048743	0.02052443	1.515596	1.5156	1.75026	0.416771	3.05178	0.0205244	0.0205244	0.446209	1.77249	0.604874	0.185666	0.376949	0.437385	0.1836092	0.280807	0	1	0.0233251	0.0709053	0.90577	0.105953	0.0576216	0.0455807	0.0741852	0.0830899	0.303732	0.0487794	0.196851	0.0842071	0.6483011	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728	1.26728
7000	-137.2048	-123.8511	-13.35378	14.80387	0.0230354	0.0629221	0.207247	0.0240098	0.184108	0.0330338	0.1254669	0.1280938	0.1153727	0.1280938	0.128094	1.99536	2.94492	0.570558	0.125467	0.115373	1.62256	2.02244	0.128094	0.0785642	0.214601	0.706835	0.293205	0.241152	1	0	0.099563	0.763454	0.136983	0.247292	0.15627	0.121823	0.00927162	0.0489169	0.243476	0.116795	0.0465834	0.00957248	0.533879	1.64487	1.64487	1.64487	1.64487	1.64487	1.64487	1.64487	1.64487	1.64487
8000	-132.66	-125.7469	-6.913077	13.102	0.0320241	0.0188757	0.0255936	0.00958274	0.0194145	0.0569153	0.1210247	0.07819139	0.1210247	0.07819139	0.0781914	1.13015	1.09499	0.137563	0.121025	0.121025	1.58119	4.36235	0.0781914	0.418651	0.246763	0.334586	0.07649349	0.08591253	0	0	0.111541	0.225979	0.66248	0.0118035	0.204041	0.0847934	0.0243219	0.0493441	0.158473	0.0213715	0.337831	0.108021	0.5848816	1.45578	1.45578	1.45578	1.45578	1.45578	1.45578	1.45578	1.45578	1.45578
9000	-137.1637	-124.3035	-12.86015	17.31963	0.0426724	0.00675951	0.00825497	0.000864612	0.00832418	0.18479	1.178086	0.3811238	1.178086	0.3128312	0.312831	0.129271	0.19707	2.43083	1.17809	1.17809	0.555801	4.15729	0.381124	0.739725	0.117176	0.1431	0.05768689	0.1939785	0	1	0.00445726	0.0429129	0.95263	0.12818	0.0356313	0.188139	0.24909	0.015642	0.3305	0.0214021	0.0260355	0.0053791	0.5031822	1.9244	1.9244	1.9244	1.9244	1.9244	1.9244	1.9244	1.9244	1.9244
