Iteration	avg_lambda[1]	avg_lambda[2]	avg_lambda[3]	avg_lambda[4]	avg_lambda[5]	avg_lambda[6]	avg_lambda[7]	avg_lambda[8]	avg_lambda[9]	avg_lambda[10]	avg_lambda[11]	avg_lambda[12]	avg_lambda[13]	avg_lambda[14]	avg_lambda[15]	avg_lambda[16]	avg_lambda[17]	avg_lambda[18]	avg_lambda[19]	avg_lambda[20]	avg_lambda[21]	avg_lambda[22]	avg_lambda[23]	avg_lambda[24]	avg_lambda[25]	avg_lambda[26]	avg_lambda[27]	avg_lambda[28]	avg_lambda[29]	avg_lambda[30]	avg_lambda[31]	avg_lambda[32]	avg_lambda[33]	avg_lambda[34]	avg_lambda[35]	avg_lambda[36]	avg_lambda[37]	avg_lambda[38]	avg_lambda[39]	avg_lambda[40]	avg_lambda[41]	avg_lambda[42]	avg_lambda[43]	avg_lambda[44]	avg_lambda[45]	avg_lambda[46]	avg_lambda[47]	avg_lambda[48]	avg_lambda[49]	avg_lambda[50]	avg_lambda[51]	avg_lambda[52]	avg_lambda[53]	avg_lambda[54]	avg_lambda[55]	avg_lambda[56]	avg_lambda[57]	avg_lambda[58]	avg_lambda[59]	avg_lambda[60]	avg_lambda[61]	avg_lambda[62]	avg_lambda[63]	avg_lambda[64]	avg_lambda[65]	avg_lambda[66]	avg_lambda[67]	avg_lambda[68]	avg_lambda[69]	avg_lambda[70]	avg_lambda[71]	avg_lambda[72]	avg_mu[1]	avg_mu[2]	avg_mu[3]	avg_mu[4]	avg_mu[5]	avg_mu[6]	avg_mu[7]	avg_mu[8]	avg_mu[9]	avg_mu[10]	avg_mu[11]	avg_mu[12]	avg_mu[13]	avg_mu[14]	avg_mu[15]	avg_mu[16]	avg_mu[17]	avg_mu[18]	avg_mu[19]	avg_mu[20]	avg_mu[21]	avg_mu[22]	avg_mu[23]	avg_mu[24]	avg_mu[25]	avg_mu[26]	avg_mu[27]	avg_mu[28]	avg_mu[29]	avg_mu[30]	avg_mu[31]	avg_mu[32]	avg_mu[33]	avg_mu[34]	avg_mu[35]	avg_mu[36]	avg_mu[37]	avg_mu[38]	avg_mu[39]	avg_mu[40]	avg_mu[41]	avg_mu[42]	avg_mu[43]	avg_mu[44]	avg_mu[45]	avg_mu[46]	avg_mu[47]	avg_mu[48]	avg_mu[49]	avg_mu[50]	avg_mu[51]	avg_mu[52]	avg_mu[53]	avg_mu[54]	avg_mu[55]	avg_mu[56]	avg_mu[57]	avg_mu[58]	avg_mu[59]	avg_mu[60]	avg_mu[61]	avg_mu[62]	avg_mu[63]	avg_mu[64]	avg_mu[65]	avg_mu[66]	avg_mu[67]	avg_mu[68]	avg_mu[69]	avg_mu[70]	avg_mu[71]	avg_mu[72]	num_shifts[1]	num_shifts[2]	num_shifts[3]	num_shifts[4]	num_shifts[5]	num_shifts[6]	num_shifts[7]	num_shifts[8]	num_shifts[9]	num_shifts[10]	num_shifts[11]	num_shifts[12]	num_shifts[13]	num_shifts[14]	num_shifts[15]	num_shifts[16]	num_shifts[17]	num_shifts[18]	num_shifts[19]	num_shifts[20]	num_shifts[21]	num_shifts[22]	num_shifts[23]	num_shifts[24]	num_shifts[25]	num_shifts[26]	num_shifts[27]	num_shifts[28]	num_shifts[29]	num_shifts[30]	num_shifts[31]	num_shifts[32]	num_shifts[33]	num_shifts[34]	num_shifts[35]	num_shifts[36]	num_shifts[37]	num_shifts[38]	num_shifts[39]	num_shifts[40]	num_shifts[41]	num_shifts[42]	num_shifts[43]	num_shifts[44]	num_shifts[45]	num_shifts[46]	num_shifts[47]	num_shifts[48]	num_shifts[49]	num_shifts[50]	num_shifts[51]	num_shifts[52]	num_shifts[53]	num_shifts[54]	num_shifts[55]	num_shifts[56]	num_shifts[57]	num_shifts[58]	num_shifts[59]	num_shifts[60]	num_shifts[61]	num_shifts[62]	num_shifts[63]	num_shifts[64]	num_shifts[65]	num_shifts[66]	num_shifts[67]	num_shifts[68]	num_shifts[69]	num_shifts[70]	num_shifts[71]	num_shifts[72]
0	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.6730574	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.587449	0.587449	0.8088603	0.8088603	0.8088603	0.6058928	0.7599186	0.7061665	0.587449	0.587449	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.7919806	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.645306	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.7161674	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.587449	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	0.8088603	-nan	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.05703497	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.03025236	0.04054544	0.03025236	-nan	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
1000	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.564599	1.191872	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	0.729273	2.117187	1.35472	1.651111	2.837617	2.837617	1.474822	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.14202	0.9171063	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	1.55844	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	0.9605599	2.837617	1.129861	2.837617	2.837617	2.837617	2.837617	2.837617	2.837617	-nan	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.05761427	0.07091551	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.05855315	0.09149757	0.09149757	0.09149757	0.06489484	0.05761427	0.05761427	0.07989913	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.09149757	0.03406282	0.09149757	-nan	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	2	0	0
2000	2.457129	2.380013	2.229654	0.673846	2.457129	1.316853	2.457129	0.6001282	1.728493	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	1.560602	1.057077	0.7767409	2.457129	2.457129	2.457129	2.457129	0.8111147	2.457129	2.457129	1.066784	2.357131	2.457129	2.457129	2.457129	2.457129	1.963217	0.9312917	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	1.442935	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.457129	2.335241	2.457129	2.457129	2.457129	2.457129	1.487958	1.200583	-nan	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.09407864	0.08013906	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.6030173	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.01948356	0.06176481	0.01948356	0.01948356	0.01948356	0.01948356	0.07121772	0.4672334	-nan	0	1	2	1	0	2	0	1	1	0	0	0	0	0	0	0	4	3	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	4	0
3000	3.33692	3.33692	3.33692	3.33692	3.33692	0.5851976	3.33692	3.33692	2.096157	3.33692	3.33692	1.012816	3.33692	3.33692	3.33692	3.33692	1.470349	1.213844	0.7086046	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	1.115437	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	2.654559	3.33692	3.33692	3.33692	1.546685	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	-nan	1.577027	1.577027	1.577027	1.577027	1.577027	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.1767461	0.2203778	0.1285814	0.2288666	0.2288666	0.2288666	0.2288666	0.2288666	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1995091	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.1285814	0.2288666	0.2288666	0.2288666	0.1367995	0.1285814	0.1285814	0.1285814	0.1285814	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.008089978	0.3377699	1.577027	1.577027	1.577027	1.577027	1.16397	0.7116828	-nan	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
4000	2.289186	0.452764	3.253266	2.566522	3.253266	3.253266	0.4381617	0.3038186	3.253266	2.467773	1.187189	3.253266	3.253266	2.571938	3.253266	3.253266	1.007147	1.522157	1.020347	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	1.400551	0.7335395	1.459477	3.253266	3.253266	3.253266	3.253266	3.253266	1.835071	3.253266	2.909242	3.253266	3.253266	3.253266	2.879409	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	1.307921	3.253266	3.253266	2.992385	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	1.378651	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	3.253266	1.700587	2.222409	-nan	0.002842984	0.002842984	0.002842984	0.002842984	0.002842984	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.1378654	0.1342574	0.1711882	0.05125115	0.05125115	0.05125115	0.05125115	0.05125115	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.126859	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.1711882	0.05125115	0.05125115	0.05125115	0.1581257	0.1711882	0.1711882	0.1711882	0.1711882	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.01661429	0.002842984	0.002842984	0.002842984	0.002842984	0.07967193	0.02347862	-nan	1	1	0	1	0	0	1	1	0	1	3	0	0	1	0	0	8	6	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	3	0
5000	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	1.452887	2.028118	2.028118	2.028118	2.028118	2.028118	1.363465	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	2.028118	-nan	0.0912023	0.0912023	0.0912023	0.0912023	0.0912023	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.1195223	0.2482095	0.2626402	0.1205471	0.1205471	0.1205471	0.06862833	0.1205471	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.1235857	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.2626402	0.1205471	0.1205471	0.1205471	0.1766288	0.2626402	0.2626402	0.2626402	0.2626402	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.04561888	0.0821058	0.0912023	0.0912023	0.0912023	0.0912023	0.09937261	0.2503142	-nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
6000	2.777295	0.7934928	1.98992	2.344485	1.605848	1.11981	2.777295	2.249421	2.23822	2.777295	1.56192	2.777295	1.860759	2.464855	1.991235	1.991204	2.310216	1.90791	2.411232	2.777295	2.777295	2.777295	2.777295	0.7511906	2.777295	2.777295	2.447969	1.716654	2.777295	2.777295	2.777295	1.559072	1.858514	2.082308	1.918257	0.8643202	2.777295	2.777295	2.777295	2.777295	2.777295	2.777295	2.777295	2.777295	2.777295	2.777295	2.104019	1.616353	2.777295	1.254532	2.767963	2.777295	2.777295	0.8708938	2.777295	2.060298	2.777295	2.777295	2.777295	2.777295	2.777295	1.942701	2.777295	2.777295	1.890583	2.145884	2.777295	2.777295	2.777295	1.146096	0.9863207	-nan	0.05250704	0.05250704	0.05250704	0.05250704	0.05250704	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.1127999	0.2056093	0.04792623	0.01876131	0.01876131	0.01876131	0.01876131	0.01876131	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.027514	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.04792623	0.01876131	0.01876131	0.01876131	0.02492276	0.04792623	0.04792623	0.04792623	0.04792623	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.02494536	0.03081433	0.05250704	0.05250704	0.05250704	0.05250704	0.04873685	0.0437694	-nan	0	1	1	4	2	3	0	7	2	0	1	0	1	1	1	1	10	7	6	0	0	0	0	1	0	0	1	4	0	0	0	2	3	2	1	3	0	0	0	0	0	0	0	0	0	0	4	2	0	2	3	0	0	2	0	2	0	0	0	0	0	2	0	0	2	2	0	0	0	2	6	0
7000	0.9538345	1.599443	2.288058	1.309623	2.372188	2.372188	2.249237	1.504982	1.160148	2.372188	1.407948	2.372188	1.579395	2.372188	2.372188	2.372188	1.0786	1.492062	1.130137	2.372188	2.372188	0.9401834	0.8282884	0.8282884	1.829101	2.076677	1.753188	2.302538	2.372188	2.372188	2.372188	2.346624	0.8282884	1.085603	1.889162	1.423355	2.372188	2.372188	2.372188	2.372188	2.372188	1.174715	1.835183	2.372188	2.372188	2.372188	1.223599	1.604806	2.372188	1.682137	2.172854	2.372188	2.372188	2.372188	2.372188	1.504536	2.372188	2.19906	2.372188	2.372188	2.372188	1.651399	2.020234	0.8282884	1.875075	2.372188	2.372188	2.372188	2.372188	1.136857	1.358068	-nan	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07615575	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.07596464	0.2016663	0.07596464	-nan	1	4	1	1	0	0	1	1	1	0	2	0	1	0	0	0	6	7	1	0	0	1	0	0	1	1	1	2	0	0	0	2	1	2	1	2	0	0	0	0	0	2	1	0	0	0	2	3	0	2	2	0	0	0	0	2	0	2	0	0	0	1	1	0	2	0	0	0	0	3	4	0
8000	2.0705	1.185037	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	0.6926582	2.0705	2.0705	1.622884	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	-nan	0.004965944	0.004965944	0.004965944	0.004965944	0.004965944	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.4384092	0.2039433	0.1499015	0.1261486	0.1261486	0.1261486	0.1261486	0.1261486	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.2966261	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1499015	0.1261486	0.1261486	0.1261486	0.1328132	0.1499015	0.1499015	0.4783875	0.5962766	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.02285845	0.1125984	0.004965944	0.004965944	0.004965944	0.004965944	0.02845571	0.2711615	-nan	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
9000	2.788608	2.34359	1.836506	2.788608	2.788608	1.215957	0.6206309	1.614933	2.345507	2.788608	2.788608	2.788608	2.788608	2.055405	2.788608	2.788608	1.150225	1.006259	0.6743766	2.788608	2.788608	2.788608	2.788608	2.788608	2.280306	1.856725	2.788608	2.33485	2.788608	2.788608	1.742684	1.786071	2.788608	2.003145	2.788608	2.124564	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	0.9199987	2.788608	2.788608	1.204585	2.038778	0.6206309	0.6206309	0.6206309	1.089269	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.788608	2.720299	1.76721	-nan	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1648531	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.1069174	0.08923523	0.1069174	0.1069174	0.1069174	0.1069174	0.6048577	0.07980155	-nan	0	1	2	0	0	1	1	1	1	0	0	0	0	1	0	0	2	4	2	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	0
