Iteration	end_1	end_2	end_3	end_4	end_5	end_6	end_7	end_8	end_9	end_10	end_11	end_12	end_13	end_14	end_15	end_16	end_17	end_18	end_19	end_20	end_21	end_22	end_23	end_24	end_25	end_26	end_27	end_28	end_29	end_30	end_31	end_32	end_33	end_34	end_35	end_36	end_37	end_38	end_39	end_40	end_41	end_42	end_43	end_44	end_45	end_46	end_47	end_48	end_49	end_50	end_51	end_52	end_53	end_54	end_55	end_56	end_57	end_58	end_59	end_60	end_61	end_62	end_63	end_64	end_65	end_66	end_67	end_68	end_69	end_70	end_71	end_72	end_73
0	9	9	9	9	9	9	17	17	17	17	8	17	17	17	17	17	17	13	3	5	13	13	13	13	13	5	5	14	14	14	14	14	14	14	5	14	13	14	14	14	14	14	14	5	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	17
1000	0	9	9	9	9	9	17	17	8	8	17	17	17	17	17	8	8	4	15	5	13	13	13	13	4	14	14	14	14	14	14	14	5	5	5	14	13	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	8	17	17	17	17	17	17	17	17	17	9	9	9	9	9	15	12
2000	9	9	0	0	0	9	8	17	17	17	17	17	17	17	8	17	17	4	0	5	13	13	13	13	13	14	14	14	5	14	14	14	14	14	5	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	15	4
3000	9	9	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	4	3	5	13	13	13	13	4	14	14	5	14	14	14	14	5	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	14
4000	9	9	9	9	9	9	8	17	17	17	17	8	17	17	17	17	17	13	3	14	13	13	13	4	13	14	14	14	5	14	14	14	5	14	5	14	4	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	14
5000	9	9	9	9	9	9	17	17	8	17	17	17	17	17	17	17	17	13	12	14	13	13	13	4	4	14	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	4	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	17
6000	0	9	9	9	0	9	8	8	8	8	17	17	17	8	8	17	8	13	3	5	4	13	13	13	13	14	5	5	5	14	14	5	14	5	5	14	13	14	14	14	14	14	14	14	5	14	14	5	4	4	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	8	17
7000	0	0	0	9	9	9	17	8	8	17	8	17	8	8	17	17	17	13	12	5	13	13	13	13	13	14	14	14	14	14	14	5	5	5	14	5	4	14	5	14	14	14	14	5	14	14	14	14	13	13	13	4	14	14	5	14	17	17	8	17	17	17	17	17	17	17	9	9	9	9	9	14	14
8000	9	9	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	13	3	14	13	13	13	13	13	14	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
9000	9	9	0	9	0	9	8	8	8	8	17	17	8	17	17	8	17	4	9	14	13	13	13	4	4	14	5	14	14	14	14	14	5	14	14	14	4	14	14	14	14	14	14	14	14	14	14	13	4	13	13	13	4	4	13	13	17	17	17	17	17	17	17	17	17	17	0	9	9	9	9	12	13
10000	0	0	0	0	9	0	8	8	17	8	17	8	17	17	17	17	17	13	12	14	13	4	13	4	13	5	5	14	5	14	5	5	5	14	5	5	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	14
11000	9	9	9	9	9	9	8	8	17	17	17	17	17	17	17	17	17	13	12	5	13	13	13	13	4	14	14	5	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	4	13	13	4	14	14	14	14	17	17	17	17	17	17	17	8	17	17	9	9	9	9	9	11	14
12000	9	0	9	9	9	9	17	8	17	8	8	17	17	17	8	8	8	13	3	14	13	13	13	13	4	14	5	5	14	14	5	14	5	14	14	14	4	14	14	14	14	14	14	14	14	14	14	14	4	13	4	13	14	14	14	5	17	17	17	17	8	8	17	17	8	8	9	9	9	0	0	11	14
13000	0	0	9	9	0	9	17	8	8	8	8	8	8	17	8	17	17	4	3	5	13	13	4	13	13	14	5	14	14	5	5	14	14	5	5	5	4	5	14	14	5	14	14	14	14	14	5	5	13	13	13	13	14	14	14	14	17	8	8	8	8	8	8	8	8	8	9	0	0	0	0	8	5
14000	9	9	9	9	9	9	8	17	17	8	17	17	17	17	17	17	17	13	3	5	13	13	13	13	13	14	14	14	14	14	14	5	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	5	5	5	5	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	5
15000	9	9	9	9	9	9	17	17	17	17	17	8	17	17	17	17	17	4	6	5	4	4	4	4	4	14	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	13	4	4	4	4	4	4	4	13	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	15	13
16000	9	9	9	9	9	9	8	8	17	17	17	17	17	17	17	8	8	4	12	14	13	13	13	13	4	5	14	14	14	14	14	5	14	14	5	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	14	14
17000	9	0	0	9	0	0	17	17	17	17	8	8	8	8	17	17	8	13	12	14	13	13	13	13	13	14	14	14	5	5	5	14	14	5	5	5	4	5	5	5	5	5	5	14	5	5	5	5	13	13	13	4	5	5	5	3	8	8	8	8	17	17	8	8	8	8	9	9	0	9	9	15	3
18000	0	0	9	0	9	9	17	8	8	17	17	17	17	17	17	17	17	13	12	5	4	4	4	4	4	5	5	5	14	14	14	14	5	14	5	5	4	5	14	14	14	14	14	5	14	14	5	5	4	4	4	4	5	5	5	5	17	17	17	17	17	17	17	17	17	17	9	0	0	0	0	2	5
19000	0	9	9	9	9	9	8	8	17	17	8	17	17	17	17	17	8	13	12	5	4	4	4	13	13	14	14	14	14	14	14	5	14	14	5	14	4	14	14	14	14	14	14	14	14	14	14	13	13	4	4	4	4	4	13	13	17	17	17	17	8	8	17	17	8	8	0	9	9	9	9	8	13
20000	9	9	9	9	9	9	17	17	8	17	17	17	17	17	17	17	17	4	12	14	13	13	4	4	13	14	14	5	5	14	14	14	14	14	5	5	4	14	14	14	14	14	5	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	14
21000	0	9	0	9	0	9	17	17	17	17	8	8	17	17	8	17	17	4	3	14	13	13	13	13	13	14	14	14	14	14	14	14	14	14	14	14	4	14	14	14	14	14	14	14	14	14	14	14	13	13	13	14	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
22000	0	9	9	0	9	0	8	8	17	17	17	17	17	17	8	17	17	4	12	5	13	13	13	4	4	14	14	14	14	14	14	14	14	14	14	14	4	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	8	17	17	9	9	9	9	9	17	14
23000	9	0	0	9	9	9	17	17	17	17	17	17	17	17	17	17	17	13	12	5	13	4	13	13	4	5	14	5	14	14	14	14	14	14	5	5	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	14
24000	0	0	0	0	0	0	17	8	8	17	17	8	17	17	17	17	17	4	3	14	13	13	13	4	13	14	14	14	5	14	5	5	14	5	14	5	13	14	14	14	14	14	14	14	14	14	14	13	13	13	13	4	13	13	13	13	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	9	13
25000	9	9	9	9	9	9	17	8	8	17	17	17	8	8	8	17	17	13	12	5	13	13	13	13	4	14	5	14	5	5	5	5	14	14	14	5	13	14	14	14	5	14	14	14	14	14	14	14	13	13	13	13	14	14	12	12	17	17	8	17	17	17	17	17	17	17	9	9	9	9	9	0	12
26000	0	0	9	9	9	0	17	8	17	17	17	17	17	17	17	17	17	4	12	14	13	13	13	13	13	14	14	14	5	14	14	14	5	5	14	5	4	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	4	4	12	12	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	9	3
27000	9	9	9	9	9	9	17	17	8	17	17	17	17	17	17	17	17	4	3	5	13	13	13	4	13	14	14	14	14	14	14	14	14	14	5	5	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	4	5	5	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
28000	0	9	9	9	9	9	8	17	8	17	17	17	17	17	17	8	17	4	12	5	13	13	13	13	13	5	14	14	14	14	14	14	14	14	5	5	13	5	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	15	14
29000	9	0	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	13	15	14	13	13	13	13	13	14	14	14	5	14	14	14	5	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	14
