Iteration	Posterior	Likelihood	Prior	eta	extinction_eic	extinction_key	extinction_nig	extinction_per	HR[1]	HR[2]	is_all_transition_different	is_focal_death_equal	is_red_male_different	is_there_different_birth_regimes	is_there_different_death_regimes	is_transition_equal	lambda_global	lambda_hidden[1]	lambda_hidden[2]	lambda_hidden_sigma	lambda_hidden_unormalized[1]	lambda_hidden_unormalized[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obs[7]	lambda_obs[8]	lambda_obs[9]	lambda_state_dependent[1]	lambda_state_dependent[2]	lambda_state_dependent[3]	lambda_state_dependent[4]	lambda_state_dependent[5]	lambda_state_dependent[6]	lambda_state_dependent[7]	lambda_state_dependent[8]	lambda_state_dependent[9]	lambda_state_dependent[10]	lambda_state_dependent[11]	lambda_state_dependent[12]	lambda_state_dependent[13]	lambda_state_dependent[14]	lambda_state_dependent[15]	lambda_state_dependent[16]	lambda_state_dependent[17]	lambda_state_dependent[18]	mu_global	mu_hidden[1]	mu_hidden[2]	mu_hidden_sigma	mu_hidden_unormalized[1]	mu_hidden_unormalized[2]	mu_m1_weigths[1]	mu_m1_weigths[2]	mu_m1_weigths[3]	mu_m1_weigths[4]	mu_m1_weigths[5]	mu_m1_weigths[6]	mu_obs[1]	mu_obs[2]	mu_obs[3]	mu_obs[4]	mu_obs[5]	mu_obs[6]	mu_obs[7]	mu_obs[8]	mu_obs[9]	mu_obs_prportional[1]	mu_obs_prportional[2]	mu_obs_prportional[3]	mu_obs_prportional[4]	mu_obs_prportional[5]	mu_obs_prportional[6]	mu_obs_prportional[7]	mu_obs_prportional[8]	mu_obs_prportional[9]	mu_prop_model_indicator	mu_proportional_m1[1]	mu_proportional_m1[2]	mu_proportional_m1[3]	mu_proportional_m1[4]	mu_proportional_m1[5]	mu_proportional_m1[6]	mu_proportional_m1[7]	mu_proportional_m1[8]	mu_proportional_m1[9]	mu_proportional_m2[1]	mu_proportional_m2[2]	mu_proportional_m2[3]	mu_proportional_m2[4]	mu_proportional_m2[5]	mu_proportional_m2[6]	mu_proportional_m2[7]	mu_proportional_m2[8]	mu_proportional_m2[9]	mu_state_dependent[1]	mu_state_dependent[2]	mu_state_dependent[3]	mu_state_dependent[4]	mu_state_dependent[5]	mu_state_dependent[6]	mu_state_dependent[7]	mu_state_dependent[8]	mu_state_dependent[9]	mu_state_dependent[10]	mu_state_dependent[11]	mu_state_dependent[12]	mu_state_dependent[13]	mu_state_dependent[14]	mu_state_dependent[15]	mu_state_dependent[16]	mu_state_dependent[17]	mu_state_dependent[18]	r[1][2]	r[1][3]	r[1][4]	r[1][7]	r[2][1]	r[2][3]	r[2][5]	r[2][8]	r[3][1]	r[3][2]	r[3][6]	r[3][9]	r[4][1]	r[4][5]	r[4][6]	r[4][7]	r[5][2]	r[5][4]	r[5][6]	r[5][8]	r[6][3]	r[6][4]	r[6][5]	r[6][9]	r[7][1]	r[7][4]	r[7][8]	r[7][9]	r[8][2]	r[8][5]	r[8][7]	r[8][9]	r[9][3]	r[9][6]	r[9][7]	r[9][8]	root_state_freq[1]	root_state_freq[2]	root_state_freq[3]	root_state_freq[4]	root_state_freq[5]	root_state_freq[6]	root_state_freq[7]	root_state_freq[8]	root_state_freq[9]	root_state_freq[10]	root_state_freq[11]	root_state_freq[12]	root_state_freq[13]	root_state_freq[14]	root_state_freq[15]	root_state_freq[16]	root_state_freq[17]	root_state_freq[18]	sampling_fraction	substitution_of_black_female	substitution_of_black_male	substitution_of_brown_female	substitution_of_brown_male	substitution_of_red_female	substitution_of_red_male	thau_f[1]	thau_f[2]	thau_f[3]	thau_m[1]	thau_m[2]	thau_m[3]	zeta	zeta_model_indicator	zeta_prop_female_m2[1]	zeta_prop_female_m2[2]	zeta_prop_female_m2[3]	zeta_prop_female_m3[1]	zeta_prop_female_m3[2]	zeta_prop_female_m3[3]	zeta_prop_male_m2[1]	zeta_prop_male_m2[2]	zeta_prop_male_m2[3]	zeta_prop_male_m3[1]	zeta_prop_male_m3[2]	zeta_prop_male_m3[3]	zeta_proportional_m2[1]	zeta_proportional_m2[2]	zeta_proportional_m2[3]	zeta_proportional_m2[4]	zeta_proportional_m2[5]	zeta_proportional_m2[6]	zeta_proportional_m3[1]	zeta_proportional_m3[2]
0	-113.4382	-160.9121	47.47388	0.2858386	0.06050472	0.06050472	0.06050472	0.06050472	0.285839	0.285839	0	1	0	1	0	1	12.56678	0.420716	0.579284	0.2370953	0.852213	1.17342	1.39631	1.39631	1.39631	1.39631	1.39631	1.39631	1.39631	1.39631	1.39631	0.587449	0.587449	0.587449	0.587449	0.587449	0.587449	0.587449	0.587449	0.587449	0.80886	0.80886	0.80886	0.80886	0.80886	0.80886	0.80886	0.80886	0.80886	0.9930974	0.5	0.5	0	1	1	0.132413	0.147743	0.114863	0.0097248	0.351555	0.243701	0.0605047	0.131499	0.146724	0.11407	0.0605047	0.0605047	0.00965768	0.349128	0.0605047	0.0609253	0.132413	0.147743	0.114863	0.0609253	0.0609253	0.0097248	0.351555	0.0609253	1	0.0609253	0.132413	0.147743	0.114863	0.0609253	0.0609253	0.0097248	0.351555	0.0609253	0.220234	0.0126496	0.387276	0.0539875	0.0151371	0.027931	0.239106	0.00913808	0.0345419	0.0302524	0.0657494	0.0733618	0.057035	0.0302524	0.0302524	0.00482884	0.174564	0.0302524	0.0302524	0.0657494	0.0733618	0.057035	0.0302524	0.0302524	0.00482884	0.174564	0.0302524	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.0163912	0.0160736	0.0489315	0.0329842	0.123158	0.00409363	0.118516	0.0465901	0.0747149	0.00283742	0.00130216	0.04695	0.00299282	0.00519264	0.00382371	0.0390808	0.14212	0.274248	0.3607557	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.005423173	0.00542317	0.00542317	0.00542317	0.00542317	0.00542317	0.00542317	0.03253904	1	0.443072	0.0038662	0.137184	0.0532081	0.0532081	0.0532081	0.237341	0.151068	0.0274685	0.0532081	0.0532081	0.733959	0.237341	0.151068	0.0274685	0.443072	0.0038662	0.137184	0.266041	0.733959
1000	-84.289	-123.8979	39.60893	1.02831	0.1714593	0.1714593	0.1714593	0.1714593	1.02831	1.02831	0	1	1	1	0	0	27.46902	0.0702781	0.929722	1.914355	0.274937	3.6372	3.05211	3.05211	3.05211	3.05211	3.05211	3.05211	3.05211	3.05211	3.05211	0.214497	0.214497	0.214497	0.214497	0.214497	0.214497	0.214497	0.214497	0.214497	2.83762	2.83762	2.83762	2.83762	2.83762	2.83762	2.83762	2.83762	2.83762	4.120811	0.5	0.5	0	1	1	0.0630996	0.304841	0.0261998	0.435838	0.00358919	0.166433	0.171459	0.260022	1.25619	0.107965	0.171459	0.171459	1.79601	0.0147904	0.171459	0.0416081	0.0630996	0.304841	0.0261998	0.0416081	0.0416081	0.435838	0.00358919	0.0416081	1	0.0416081	0.0630996	0.304841	0.0261998	0.0416081	0.0416081	0.435838	0.00358919	0.0416081	0.233705	0.00246132	0.0138671	0.0260971	0.0570916	0.505444	0.116751	0.0324966	0.0120865	0.0857296	0.130011	0.628096	0.0539823	0.0857296	0.0857296	0.898003	0.00739519	0.0857296	0.0857296	0.130011	0.628096	0.0539823	0.0857296	0.0857296	0.898003	0.00739519	0.0857296	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.01114089	0.01114089	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.01114089	0.01114089	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.01114089	0.01114089	0.0762838	0.00380792	0.159002	0.0246463	0.019998	0.0898364	0.086426	0.0356249	0.0816484	0.00188502	0.0575715	0.0268383	0.143078	0.0746549	0.00254026	0.027498	0.0241883	0.0644717	0.5884119	0.05356167	0.05356167	0.05356167	0.05356167	0.05356167	0.01114089	0.0535617	0.0535617	0.0535617	0.0535617	0.0535617	0.0111409	0.2789492	3	0.0071732	0.234335	0.252311	0.192012	0.192012	0.192012	0.0393486	0.343546	0.123287	0.192012	0.192012	0.0399388	0.0393486	0.343546	0.123287	0.0071732	0.234335	0.252311	0.960061	0.0399388
2000	-82.60234	-122.4938	39.8915	0.9733258	0.03896712	0.03896712	0.03896712	0.03896712	0.973326	0.973326	1	1	0	1	0	0	27.51532	0.196296	0.803704	1.044942	0.494206	2.02345	3.05726	3.05726	3.05726	3.05726	3.05726	3.05726	3.05726	3.05726	3.05726	0.600128	0.600128	0.600128	0.600128	0.600128	0.600128	0.600128	0.600128	0.600128	2.45713	2.45713	2.45713	2.45713	2.45713	2.45713	2.45713	2.45713	2.45713	3.676312	0.5	0.5	0	1	1	0.0615193	0.132289	0.328056	0.185533	0.250205	0.0423981	0.0389671	0.226164	0.486335	1.20603	0.0389671	0.0389671	0.682078	0.919831	0.0389671	0.0105995	0.0615193	0.132289	0.328056	0.0105995	0.0105995	0.185533	0.250205	0.0105995	1	0.0105995	0.0615193	0.132289	0.328056	0.0105995	0.0105995	0.185533	0.250205	0.0105995	0.053439	0.174167	0.133955	0.194682	0.094664	0.12553	0.154854	0.0371778	0.0315316	0.0194836	0.113082	0.243168	0.603017	0.0194836	0.0194836	0.341039	0.459916	0.0194836	0.0194836	0.113082	0.243168	0.603017	0.0194836	0.0194836	0.341039	0.459916	0.0194836	0.1819234	0.1819234	0.01193411	0.01193411	0.05012089	0.05012089	0.01193411	0.01193411	0.004296609	0.004296609	0.01193411	0.01193411	0.04862953	0.1819234	0.1819234	0.04862953	0.04862953	0.05012089	0.05012089	0.04862953	0.04862953	0.004296609	0.004296609	0.04862953	0.1112774	0.1112774	0.1819234	0.1819234	0.1112774	0.1112774	0.05012089	0.05012089	0.1112774	0.1112774	0.004296609	0.004296609	0.0371389	0.0586518	0.0251107	0.119153	0.17214	0.0126739	0.0485413	0.0273959	0.0354068	0.00304757	0.0588967	0.0719472	0.0514597	0.101125	0.0366609	0.0402934	0.0534857	0.0468712	0.4868622	0.04862953	0.05012089	0.01193411	0.1819234	0.1112774	0.004296609	0.0119341	0.0486295	0.111277	0.181923	0.0501209	0.00429661	0.4081819	2	0.0292372	0.119137	0.272617	0.04029	0.04029	0.04029	0.445692	0.122791	0.0105262	0.04029	0.04029	0.79855	0.445692	0.122791	0.0105262	0.0292372	0.119137	0.272617	0.20145	0.79855
3000	-83.74275	-124.4047	40.66198	0.6579619	0.4577332	0.01617996	0.2571628	3.154054	0.657962	0.657962	0	0	1	1	0	0	32.67172	0.0807869	0.919213	1.802624	0.296457	3.37317	3.63019	3.63019	3.63019	3.63019	3.63019	3.63019	3.63019	3.63019	3.63019	0.293272	0.293272	0.293272	0.293272	0.293272	0.293272	0.293272	0.293272	0.293272	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	3.33692	6.783074	0.5	0.5	0	1	1	0.064728	0.111832	0.195338	0.0209598	0.28984	0.317303	3.15405	0.316072	1.63225	0.662012	0.457733	0.257163	0.186274	0.101337	0.01618	0.464989	0.0465972	0.240636	0.0975976	0.0674817	0.0379124	0.0274616	0.0149396	0.00238534	2	0.0793256	0.064728	0.111832	0.195338	0.0793256	0.0793256	0.0209598	0.28984	0.0793256	0.464989	0.0465972	0.240636	0.0975976	0.0674817	0.0379124	0.0274616	0.0149396	0.00238534	1.57703	0.158036	0.816125	0.331006	0.228867	0.128581	0.0931369	0.0506683	0.00808998	1.57703	0.158036	0.816125	0.331006	0.228867	0.128581	0.0931369	0.0506683	0.00808998	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.05793083	0.05793083	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.05793083	0.05793083	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.05793083	0.05793083	0.0464773	0.0300909	0.02412	0.0333288	0.0263146	0.0721234	0.0151175	0.0178343	0.0415664	0.0284544	0.0740401	0.018735	0.240236	0.0321329	0.119695	0.0102067	0.0844678	0.0850587	0.3316085	0.01862394	0.01862394	0.01862394	0.01862394	0.01862394	0.05793083	0.0186239	0.0186239	0.0186239	0.0186239	0.0186239	0.0579308	0.1510505	3	0.259631	0.00550605	0.0646517	0.123296	0.123296	0.123296	0.313693	0.0703603	0.286157	0.123296	0.123296	0.38352	0.313693	0.0703603	0.286157	0.259631	0.00550605	0.0646517	0.61648	0.38352
4000	-83.69527	-122.8619	39.16662	1.503231	0.1025023	0.03322859	0.3423764	0.005685968	1.50323	1.50323	0	0	0	1	0	1	30.79687	0.0492736	0.950726	2.194131	0.227656	4.39259	3.42187	3.42187	3.42187	3.42187	3.42187	3.42187	3.42187	3.42187	3.42187	0.168608	0.168608	0.168608	0.168608	0.168608	0.168608	0.168608	0.168608	0.168608	3.25327	3.25327	3.25327	3.25327	3.25327	3.25327	3.25327	3.25327	3.25327	1.434218	0.5	0.5	0	1	1	0.0839206	0.0194592	0.36902	0.0163119	0.105391	0.405897	0.00568597	0.021097	0.331369	0.0789684	0.102502	0.342376	0.414726	0.104265	0.0332286	0.00396451	0.0147098	0.231045	0.0550603	0.0714691	0.23872	0.289165	0.0726979	0.0231684	2	0.101474	0.0839206	0.0194592	0.36902	0.101474	0.101474	0.0163119	0.105391	0.101474	0.00396451	0.0147098	0.231045	0.0550603	0.0714691	0.23872	0.289165	0.0726979	0.0231684	0.00284298	0.0105485	0.165684	0.0394842	0.0512512	0.171188	0.207363	0.0521323	0.0166143	0.00284298	0.0105485	0.165684	0.0394842	0.0512512	0.171188	0.207363	0.0521323	0.0166143	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.0630866	0.00771557	0.0709965	0.101134	0.0132494	0.0706868	0.05858	0.0223706	0.0178437	0.0423088	0.0538882	0.0269908	0.044104	0.167373	0.118622	0.0284649	0.0715759	0.0210098	0.3545969	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.03694114	0.0369411	0.0369411	0.0369411	0.0369411	0.0369411	0.0369411	0.2216468	1	0.158307	0.0917464	0.298874	0.0131143	0.0131143	0.0131143	0.42492	0.0100384	0.0161143	0.0131143	0.0131143	0.934429	0.42492	0.0100384	0.0161143	0.158307	0.0917464	0.298874	0.0655713	0.934429
5000	-80.65169	-124.054	43.40227	0.04052818	0.1838601	0.06957856	0.4005826	0.139103	0.0405282	0.0405282	0	0	1	1	1	0	29.91183	0.389771	0.610229	0.3323059	0.799206	1.25124	3.32354	3.32354	3.32354	3.32354	3.32354	3.32354	3.32354	3.32354	3.32354	1.29542	1.29542	1.29542	1.29542	1.29542	1.29542	1.29542	1.29542	1.29542	2.02812	2.02812	2.02812	2.02812	2.02812	2.02812	2.02812	2.02812	2.02812	1.637026	0.344354	0.655646	0.4773602	0.724717	1.37985	0.104084	0.428823	0.369872	0.0458286	0.0464312	0.0049606	0.139103	0.121272	0.220975	0.0586738	0.18386	0.400583	0.114958	0.328022	0.0695786	0.084973	0.074081	0.134986	0.0358417	0.112313	0.244701	0.0702237	0.200377	0.042503	2	0.00124015	0.104084	0.428823	0.369872	0.00124015	0.00124015	0.0458286	0.0464312	0.00124015	0.084973	0.074081	0.134986	0.0358417	0.112313	0.244701	0.0702237	0.200377	0.042503	0.0479007	0.0417607	0.0760937	0.0202046	0.063313	0.137942	0.0395863	0.112956	0.0239597	0.0912023	0.0795118	0.144881	0.0384692	0.120547	0.26264	0.0753717	0.215066	0.0456189	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.1265838	0.1265838	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.1265838	0.1265838	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.1265838	0.1265838	0.0840114	0.0251455	0.00107577	0.0276743	0.0626458	0.0147573	0.0607961	0.00234137	0.142556	0.0512465	0.0821584	0.0951151	0.031214	0.0744405	0.0518452	0.0234002	0.101175	0.0684014	0.6123631	0.02269724	0.02269724	0.02269724	0.02269724	0.02269724	0.1265838	0.0226972	0.0226972	0.0226972	0.0226972	0.0226972	0.126584	0.24007	3	0.208484	0.243582	0.102857	0.0945443	0.0945443	0.0945443	0.0890648	0.265326	0.0906856	0.0945443	0.0945443	0.527279	0.0890648	0.265326	0.0906856	0.208484	0.243582	0.102857	0.472721	0.527279
6000	-85.70601	-123.4363	37.73029	3.57758	0.03752263	0.04989072	0.09585246	0.1050141	3.57758	3.57758	0	0	0	1	0	1	30.82643	0.189149	0.810851	1.079002	0.482982	2.07047	3.42516	3.42516	3.42516	3.42516	3.42516	3.42516	3.42516	3.42516	3.42516	0.647864	0.647864	0.647864	0.647864	0.647864	0.647864	0.647864	0.647864	0.647864	2.7773	2.7773	2.7773	2.7773	2.7773	2.7773	2.7773	2.7773	2.7773	2.038143	0.5	0.5	0	1	1	0.183481	0.0546194	0.124933	0.0472655	0.572375	0.0173261	0.105014	0.0961726	0.086424	0.495941	0.0375226	0.0958525	0.434397	0.636928	0.0498907	0.0515244	0.0471864	0.0424033	0.24333	0.0184102	0.0470293	0.213134	0.312504	0.0244785	2	0.00433151	0.183481	0.0546194	0.124933	0.00433151	0.00433151	0.0472655	0.572375	0.00433151	0.0515244	0.0471864	0.0424033	0.24333	0.0184102	0.0470293	0.213134	0.312504	0.0244785	0.052507	0.0480863	0.043212	0.247971	0.0187613	0.0479262	0.217198	0.318464	0.0249454	0.052507	0.0480863	0.043212	0.247971	0.0187613	0.0479262	0.217198	0.318464	0.0249454	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.102924	0.0999944	0.0128799	0.0450095	0.0377418	0.00526198	0.0133948	0.109087	0.0528514	0.0272178	0.0564248	0.011342	0.18465	0.00926872	0.0209522	0.0700016	0.086181	0.054817	0.4920424	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.05689164	0.0568916	0.0568916	0.0568916	0.0568916	0.0568916	0.0568916	0.3413498	1	0.0526285	0.0737818	0.278569	0.0193968	0.0193968	0.0193968	0.0880021	0.115894	0.391125	0.0193968	0.0193968	0.903016	0.0880021	0.115894	0.391125	0.0526285	0.0737818	0.278569	0.096984	0.903016
7000	-83.62885	-122.6388	39.00993	2.345403	0.1519293	0.1519293	0.1519293	0.1519293	2.3454	2.3454	0	1	0	1	0	1	28.80429	0.258802	0.741198	0.7800021	0.590903	1.69233	3.20048	3.20048	3.20048	3.20048	3.20048	3.20048	3.20048	3.20048	3.20048	0.828288	0.828288	0.828288	0.828288	0.828288	0.828288	0.828288	0.828288	0.828288	2.37219	2.37219	2.37219	2.37219	2.37219	2.37219	2.37219	2.37219	2.37219	11.02607	0.5	0.5	0	1	1	0.0370803	0.270982	0.0138217	0.365697	0.257303	0.0551164	0.151929	0.40885	2.98786	0.152399	0.151929	0.151929	4.0322	2.83704	0.151929	0.0137791	0.0370803	0.270982	0.0138217	0.0137791	0.0137791	0.365697	0.257303	0.0137791	1	0.0137791	0.0370803	0.270982	0.0138217	0.0137791	0.0137791	0.365697	0.257303	0.0137791	0.253324	0.352174	0.112099	0.0183035	0.0712582	0.0932379	0.0480791	0.0206214	0.0309035	0.0759646	0.204425	1.49393	0.0761993	0.0759646	0.0759646	2.0161	1.41852	0.0759646	0.0759646	0.204425	1.49393	0.0761993	0.0759646	0.0759646	2.0161	1.41852	0.0759646	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.00149224	0.0316863	0.00344734	0.0420456	0.175364	0.000345935	0.0437478	0.10823	0.00347457	0.00222612	0.00381365	0.143446	0.0171669	0.142972	0.0673496	0.133961	0.0481464	0.0310852	0.6127225	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.0529746	0.3178476	1	0.213107	0.0207444	0.251637	0.0225188	0.0225188	0.0225188	0.0782661	0.24433	0.191916	0.0225188	0.0225188	0.887406	0.0782661	0.24433	0.191916	0.213107	0.0207444	0.251637	0.112594	0.887406
8000	-80.90363	-124.0132	43.10956	0.08482195	0.2984398	0.05407805	0.3546339	0.01174833	0.0848219	0.0848219	0	0	1	1	0	0	24.86842	0.250676	0.749324	0.8117313	0.578391	1.72893	2.76316	2.76316	2.76316	2.76316	2.76316	2.76316	2.76316	2.76316	2.76316	0.692658	0.692658	0.692658	0.692658	0.692658	0.692658	0.692658	0.692658	0.692658	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	2.0705	3.798316	0.5	0.5	0	1	1	0.0505972	0.441578	0.230177	0.0223045	0.119059	0.136284	0.0117483	0.00582002	1.90361	0.715986	0.29844	0.354634	0.280452	0.173546	0.0540781	0.00309304	0.00153226	0.501172	0.188501	0.0785716	0.0933661	0.073836	0.0456903	0.0142374	2	0.0340711	0.0505972	0.441578	0.230177	0.0340711	0.0340711	0.0223045	0.119059	0.0340711	0.00309304	0.00153226	0.501172	0.188501	0.0785716	0.0933661	0.073836	0.0456903	0.0142374	0.00587416	0.00291001	0.951806	0.357993	0.14922	0.177317	0.140226	0.0867731	0.027039	0.00587416	0.00291001	0.951806	0.357993	0.14922	0.177317	0.140226	0.0867731	0.027039	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.07503662	0.07503662	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.07503662	0.07503662	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.07503662	0.07503662	0.00397475	0.143756	0.0237165	0.0416048	0.0309058	0.000921434	0.0261081	0.0517491	0.0341377	0.0597204	0.0101581	0.0285156	0.0618769	0.0436447	0.108795	0.0222935	0.132795	0.175327	0.3836755	0.03302811	0.03302811	0.03302811	0.03302811	0.03302811	0.07503662	0.0330281	0.0330281	0.0330281	0.0330281	0.0330281	0.0750366	0.2401772	3	0.110499	0.0359177	0.020625	0.137516	0.137516	0.137516	0.0161898	0.447871	0.368898	0.137516	0.137516	0.312422	0.0161898	0.447871	0.368898	0.110499	0.0359177	0.020625	0.687578	0.312422
9000	-84.64365	-124.0554	39.41173	1.202029	0.2138347	0.2138347	0.2138347	0.2138347	1.20203	1.20203	0	1	1	1	0	0	30.68315	0.182044	0.817956	1.11385	0.471762	2.11971	3.40924	3.40924	3.40924	3.40924	3.40924	3.40924	3.40924	3.40924	3.40924	0.620631	0.620631	0.620631	0.620631	0.620631	0.620631	0.620631	0.620631	0.620631	2.78861	2.78861	2.78861	2.78861	2.78861	2.78861	2.78861	2.78861	2.78861	5.825703	0.5	0.5	0	1	1	0.293588	0.103963	0.0844404	0.34994	0.021248	0.146822	0.213835	1.71036	0.605655	0.491925	0.213835	0.213835	2.03864	0.123784	0.213835	0.0367054	0.293588	0.103963	0.0844404	0.0367054	0.0367054	0.34994	0.021248	0.0367054	1	0.0367054	0.293588	0.103963	0.0844404	0.0367054	0.0367054	0.34994	0.021248	0.0367054	0.358771	0.283522	0.0193773	0.0329452	0.0576957	0.111455	0.00623431	0.105098	0.0249009	0.106917	0.855178	0.302828	0.245962	0.106917	0.106917	1.01932	0.0618922	0.106917	0.106917	0.855178	0.302828	0.245962	0.106917	0.106917	1.01932	0.0618922	0.106917	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.003479721	0.003479721	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.003479721	0.003479721	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.003479721	0.003479721	0.0212883	0.0180705	0.0117452	0.097662	0.123443	0.000355872	0.0245925	0.00313534	0.161016	0.275766	0.022288	0.0259915	0.0367247	0.00518361	0.0445971	0.00962791	0.06684	0.0516718	0.6191005	0.07298123	0.07298123	0.07298123	0.07298123	0.07298123	0.003479721	0.0729812	0.0729812	0.0729812	0.0729812	0.0729812	0.00347972	0.3683859	3	0.107347	0.544268	0.111905	0.198111	0.198111	0.198111	0.161859	0.0219264	0.0526948	0.198111	0.198111	0.00944586	0.161859	0.0219264	0.0526948	0.107347	0.544268	0.111905	0.990554	0.00944586
